x,y,waveform,color,neuron_index,dataset,pos_x,pos_y,timestamp,unit_id
-1.5519595,9.8573475,"[-9.44094122e-03 -1.30065723e-03  9.88066528e-03  1.95866873e-02
  1.94162670e-02  1.14383038e-02  1.08297435e-02  1.53507309e-02
  1.18252760e-02  1.26821032e-02  1.91152927e-02  4.57669981e-03
 -4.82470123e-03  1.85377710e-02  6.08941030e-03  1.52120380e-04
  2.05051052e-01  4.86394431e-01  3.60022280e-01 -1.67524173e-01
 -5.03898770e-01 -4.11021496e-01 -2.15643295e-01 -1.25424796e-01
 -6.66263819e-02 -1.58512187e-02 -1.19526293e-02 -3.61872129e-02
 -6.32615134e-02 -8.08551338e-02 -6.75552623e-02 -2.92763646e-02
  8.00265701e-03  4.17147141e-02  7.25764293e-02  8.57761279e-02
  8.19764141e-02  7.79004714e-02  7.44079756e-02  6.36329491e-02
  5.20757293e-02  4.72905756e-02  4.37194977e-02  3.90475214e-02
  4.00568059e-02  4.61336860e-02  4.83111693e-02  4.17713148e-02
  2.82396822e-02  1.35717131e-02  7.18181818e-01  3.91666667e-01]",0,0,2023-09-16-T171332-chip19894_right_acqm.zip,2765.0,822.5,2023-09-16-T171332,0.0
0.08626228,8.830884,"[ 0.03266934  0.03523008  0.03761053  0.03891719  0.03937059  0.04025648
  0.04193753  0.04313866  0.04366339  0.04521009  0.04769082  0.04912118
  0.04997834  0.05357536  0.06762261  0.10215464  0.13276338  0.07383597
 -0.13012792 -0.38250311 -0.51120047 -0.46696277 -0.33993813 -0.21309447
 -0.10663808 -0.02566715  0.02615822  0.05909512  0.08402374  0.1016191
  0.11111496  0.11442671  0.11197294  0.10410763  0.09478218  0.08781806
  0.08225884  0.07561783  0.06842785  0.06257284  0.05771454  0.05158893
  0.04363681  0.03672965  0.03319709  0.02998097  0.02101609  0.0054607
 -0.00960245 -0.01711103  0.7         0.36666667]",4,1,2023-09-16-T171332-chip19894_right_acqm.zip,2695.0,770.0,2023-09-16-T171332,1.0
0.67783153,7.5376186,"[ 3.65066498e-02  3.81159504e-02  4.01325954e-02  4.07175026e-02
  3.92529898e-02  3.91906081e-02  4.19768435e-02  4.40383194e-02
  4.38806829e-02  4.44333682e-02  4.60516639e-02  4.58587784e-02
  4.49249319e-02  5.02908079e-02  7.21416903e-02  1.09123383e-01
  1.13677059e-01  3.99254360e-03 -2.25405061e-01 -4.42227611e-01
 -5.08632062e-01 -4.29532260e-01 -2.99416632e-01 -1.76407500e-01
 -7.43801881e-02 -2.53151303e-03  4.20269203e-02  7.45957441e-02
  9.89650902e-02  1.10874223e-01  1.14487839e-01  1.15494193e-01
  1.12829980e-01  1.05963841e-01  9.79146796e-02  9.01735941e-02
  8.23565714e-02  7.44436669e-02  6.63299573e-02  5.83739305e-02
  5.22918598e-02  4.85260004e-02  4.46201657e-02  3.90033619e-02
  3.30889001e-02  2.64309849e-02  1.52018486e-02  2.77887388e-04
 -1.03219946e-02 -1.24051015e-02  7.00000000e-01  3.66666667e-01]",4,2,2023-09-16-T171332-chip19894_right_acqm.zip,2695.0,770.0,2023-09-16-T171332,3.0
-0.18402915,9.457567,"[ 0.03386663  0.03797821  0.03908553  0.03933343  0.03981068  0.03947361
  0.0408504   0.04356592  0.04340153  0.04540312  0.05219049  0.05048957
  0.04513067  0.05492641  0.05416573  0.03391005  0.07214485  0.14408408
  0.03234928 -0.30554883 -0.56188873 -0.52231584 -0.3347858  -0.18914831
 -0.09452277 -0.02387222  0.01297369  0.03233014  0.05673144  0.07846276
  0.09083924  0.10029899  0.10727561  0.10916941  0.10739404  0.10161938
  0.09122346  0.07903169  0.06695986  0.05516898  0.04540088  0.03899016
  0.03418961  0.02876471  0.02273294  0.01731999  0.01309486  0.00979225
  0.00684896  0.00361193  0.71363636  0.4       ]",4,3,2023-09-16-T171332-chip19894_right_acqm.zip,2747.5,840.0,2023-09-16-T171332,4.0
0.49696854,8.029844,"[ 0.03390579  0.03538539  0.03680328  0.03830521  0.03940672  0.04081569
  0.04281274  0.04474833  0.04675347  0.04914628  0.05066663  0.05030067
  0.05047087  0.05609383  0.07498514  0.11135985  0.12813522  0.03844403
 -0.18564337 -0.42029482 -0.50957582 -0.44194518 -0.31502308 -0.19434612
 -0.09229595 -0.01550729  0.03402793  0.06660907  0.08979646  0.10460885
  0.11251148  0.11469771  0.11160352  0.10530595  0.09794865  0.09070831
  0.08452388  0.07822648  0.06960782  0.06019028  0.05350557  0.04923338
  0.04430817  0.03812802  0.03223787  0.02587463  0.01593634  0.00222485
 -0.01025061 -0.01600086  0.7         0.36666667]",4,4,2023-09-16-T171332-chip19894_right_acqm.zip,2695.0,770.0,2023-09-16-T171332,5.0
0.710568,6.7360744,"[ 0.03509029  0.03822634  0.03890176  0.03845561  0.03831451  0.0383321
  0.03891562  0.04058428  0.04320236  0.04691589  0.04987513  0.04968482
  0.05062022  0.06248864  0.09264427  0.12700359  0.10117343 -0.05745665
 -0.30667837 -0.48568127 -0.49384537 -0.38449149 -0.25268235 -0.13758437
 -0.0474851   0.01374594  0.05489123  0.08603429  0.10632222  0.11541972
  0.11836064  0.11677295  0.10988434  0.10105923  0.09374617  0.08659229
  0.07835668  0.0703575   0.06220695  0.05364766  0.04761011  0.04379958
  0.03797996  0.03154822  0.02806213  0.02214928  0.00815731 -0.0072807
 -0.01514092 -0.01584205  0.7         0.36666667]",4,5,2023-09-16-T171332-chip19894_right_acqm.zip,2695.0,770.0,2023-09-16-T171332,6.0
6.626767,8.390239,"[ 0.05155956  0.04619814  0.04085383  0.03973371  0.03622278  0.0303928
  0.03036812  0.0374571   0.0457645   0.05197953  0.05544473  0.05510208
  0.05501404  0.06868229  0.1051934   0.1397361   0.10644569 -0.04365875
 -0.26294819 -0.42695949 -0.45927381 -0.395323   -0.30577814 -0.21580737
 -0.12603778 -0.05181908 -0.00242417  0.03623924  0.07136329  0.09243927
  0.10032937  0.10818674  0.11505418  0.11326985  0.10934864  0.10995992
  0.10766203  0.09912665  0.09239757  0.08705057  0.075531    0.06363502
  0.06024047  0.05765828  0.04850679  0.04073675  0.03605054  0.02108917
 -0.006201   -0.02735654  0.66818182  0.45833333]",4,6,2023-09-16-T171332-chip19894_right_acqm.zip,2572.5,962.5,2023-09-16-T171332,7.0
-1.5693133,10.463139,"[ 1.62180706e-02  1.48282038e-02  1.27509352e-02  1.17374250e-02
  1.16036637e-02  1.34514416e-02  1.60028424e-02  1.64742454e-02
  2.10626178e-02  3.21940835e-02  3.72082261e-02  4.24625902e-02
  6.47621102e-02  7.67138370e-02  7.79676327e-02  1.53062110e-01
  2.65777015e-01  1.84215459e-01 -1.46281602e-01 -4.41084037e-01
 -4.90675865e-01 -3.96895178e-01 -2.95894486e-01 -1.90827200e-01
 -8.35544801e-02 -1.08842078e-02  2.99762635e-02  6.07278771e-02
  8.19378413e-02  9.50052494e-02  1.06810165e-01  1.13602647e-01
  1.12546316e-01  1.08514476e-01  1.01504599e-01  8.95906625e-02
  7.63441947e-02  6.32791680e-02  4.96500550e-02  3.89131067e-02
  3.25892421e-02  2.70800093e-02  2.16109594e-02  1.69135611e-02
  9.57910181e-03 -4.87174332e-04 -6.61256497e-03 -7.58303790e-03
 -9.61799812e-03 -1.33622470e-02  6.27272727e-01  3.25000000e-01]",0,7,2023-09-16-T171332-chip19894_right_acqm.zip,2415.0,682.5,2023-09-16-T171332,8.0
11.675455,8.82015,"[ 0.07584147  0.0858352   0.09664987  0.1046398   0.10922687  0.11314719
  0.11608929  0.11704192  0.11622196  0.10618184  0.07553472  0.02683491
 -0.02429703 -0.06577201 -0.09271108 -0.10540386 -0.11822885 -0.16068703
 -0.24960808 -0.35712876 -0.42181648 -0.40188488 -0.31052404 -0.19590475
 -0.09686545 -0.02262575  0.03254592  0.0692225   0.08622665  0.09165408
  0.09497661  0.09811203  0.10160964  0.1053233   0.104712    0.09925174
  0.09473451  0.09266912  0.09027881  0.0869613   0.08201737  0.07438036
  0.06655434  0.06149089  0.05743068  0.04982601  0.0378128   0.02687352
  0.02169087  0.01884493  0.53181818  0.4       ]",19,8,2023-09-16-T171332-chip19894_right_acqm.zip,2047.5,840.0,2023-09-16-T171332,9.0
13.393908,4.369431,"[ 0.04591302  0.0545736   0.06032811  0.06034857  0.05969689  0.06257519
  0.06660394  0.06883265  0.07149908  0.07664478  0.07896747  0.07538315
  0.07318359  0.07009317  0.0523279   0.02977886  0.00885681 -0.07238228
 -0.2617716  -0.45709559 -0.50534128 -0.40588987 -0.27415253 -0.17073642
 -0.08597381 -0.01868235  0.02137865  0.04371929  0.06269642  0.07807037
  0.08629392  0.09093822  0.0948487   0.09708387  0.09787307  0.09715265
  0.09443876  0.09212699  0.09031713  0.08468489  0.07528368  0.06635563
  0.05788403  0.04831652  0.04011641  0.03525     0.03173774  0.02729513
  0.0210183   0.01215273  0.60454545  0.55      ]",9,9,2023-09-16-T171332-chip19894_right_acqm.zip,2327.5,1155.0,2023-09-16-T171332,10.0
